## top10_by_maxdiff
video_id_display,maxdiff_mean
127,0.748381805398991
126,0.731314918240329
125,0.729406105451259
124,0.722363432409377
123,0.719145275817003
122,0.713790149885081
121,0.698163107089115
118,0.658347060841003
117,0.656142380037841
116,0.655662630686161

## bottom10_by_maxdiff
video_id_display,maxdiff_mean
9,0.228064707197437
1,0.29493979867693
2,0.307397129399117
3,0.311080786958602
31,0.312034912678359
4,0.312635658914341
35,0.32487952126412
5,0.336473552375937
6,0.340782139313255
40,0.343082598588575

## top10_by_te
video_id_display,shrunk_effect
25,-0.0136402881638407
57,-0.0136402881723829
18,-0.013640288172999
12,-0.0136402881735828
86,-0.0136402881736457
1,-0.0136402881741199
122,-0.013640288174901
3,-0.0136402881758072
69,-0.0136402881777647
5,-0.0136402881777647

## bottom10_by_te
video_id_display,shrunk_effect
124,-0.0136402882254611
30,-0.0136402882235437
48,-0.0136402882184044
118,-0.0136402882176634
125,-0.0136402882167946
65,-0.0136402882139022
70,-0.0136402882131455
2,-0.0136402882129275
101,-0.013640288210974
91,-0.0136402882094167

