video_id_x,naive_effect,naive_se,naive_ci_lo,naive_ci_hi,treated_n,treated_rate,control_n,control_rate,shrunk_effect,shrunk_se,shrunk_ci_lo,shrunk_ci_hi,tau2_overall,mu_overall,adj_logit_effect,adj_or,video_id_norm,video_id_y,maxdiff_mean,sample_size,video_id_display,pval,pval_fdr,sig_fdr_05
25.0,0.15116895637503,0.0748197611210036,0.0045249192459728,0.2978129935040873,45,0.5777777777777777,1383,0.4266088214027476,-0.0136402881638407,9.999999999106824e-07,-0.013642248127825,-0.0136383281998563,0.0,-0.0136402881932814,0.5809306038829178,1.7877012986644318,25,25,0.423708978907912,958,25,0.0433376041219695,0.9119000631318658,False
57.0,0.1260227575446208,0.0817491423217579,-0.0342026171730638,0.2862481322623055,38,0.5526315789473685,1383,0.4266088214027476,-0.0136402881723829,9.999999999251824e-07,-0.0136422481363673,-0.0136383282083985,0.0,-0.0136402881932814,-0.2430798850497063,0.7842088647050908,57,57,0.500917663421612,1013,57,0.12317594239206257,0.9119000631318658,False
18.0,0.1595980751489764,0.0924191452645374,-0.0215401210514924,0.3407362713494454,29,0.5862068965517241,1383,0.4266088214027476,-0.013640288172999,9.999999999414609e-07,-0.0136422481369834,-0.0136383282090146,0.0,-0.0136402881932814,0.1719923735127612,1.1876687754386066,18,18,0.396596373663629,1063,18,0.08418668722031161,0.9119000631318658,False
12.0,0.1659837711898449,0.0954913513807559,-0.0211758383514958,0.3531433807311857,27,0.5925925925925926,1383,0.4266088214027476,-0.0136402881735828,9.99999999945167e-07,-0.0136422481375672,-0.0136383282095984,0.0,-0.0136402881932814,0.2574571892652169,1.2936364282688009,12,12,0.367842359160785,989,12,0.08217428012643373,0.9119000631318658,False
86.0,0.132214708009017,0.0861860904671473,-0.0367069252749026,0.3011363412929368,34,0.5588235294117647,1383,0.4266088214027476,-0.0136402881736457,9.999999999326875e-07,-0.0136422481376301,-0.0136383282096613,0.0,-0.0136402881932814,-0.069216560094489,0.9331245806483008,86,86,0.569751243782926,1073,86,0.12501468125786253,0.9119000631318658,False
1.0,0.1118527170587908,0.0809271136555908,-0.0467615110789469,0.2704669451965285,39,0.5384615384615384,1383,0.4266088214027476,-0.0136402881741199,9.999999999236548e-07,-0.0136422481381042,-0.0136383282101355,0.0,-0.0136402881932814,0.6354745759964253,1.8879178894052224,1,1,0.29493979867693,1061,1,0.16692827788067977,0.9119000631318658,False
122.0,0.140057845263919,0.0914442836423195,-0.0391696572670925,0.3192853477949305,30,0.5666666666666667,1383,0.4266088214027476,-0.013640288174901,9.999999999402062e-07,-0.0136422481388854,-0.0136383282109166,0.0,-0.0136402881932814,0.0905726031858587,1.0948009907960596,122,122,0.713790149885081,1039,122,0.12561636502073606,0.9119000631318658,False
3.0,0.0983911785972523,0.0800702618059402,-0.0585436507750834,0.2553260079695882,40,0.525,1383,0.4266088214027476,-0.0136402881758072,9.99999999922012e-07,-0.0136422481397916,-0.0136383282118228,0.0,-0.0136402881932814,0.7077211819734293,2.0293614399613573,3,3,0.311080786958602,999,3,0.21914286310462916,0.9119000631318658,False
69.0,0.1028029433031347,0.0866277686374849,-0.0669843632874042,0.2725902498936736,34,0.5294117647058824,1383,0.4266088214027476,-0.0136402881777647,9.99999999933372e-07,-0.0136422481417491,-0.0136383282137803,0.0,-0.0136402881932814,0.5885607881198113,1.8013939612711254,69,69,0.530677676368914,1025,69,0.23533791168656681,0.9119000631318658,False
5.0,0.1028029433031347,0.0866277686374849,-0.0669843632874042,0.2725902498936736,34,0.5294117647058824,1383,0.4266088214027476,-0.0136402881777647,9.99999999933372e-07,-0.0136422481417491,-0.0136383282137803,0.0,-0.0136402881932814,0.6091125341141794,1.8387988032436005,5,5,0.336473552375937,1040,5,0.23533791168656681,0.9119000631318658,False
121.0,0.0862116914177651,0.0811351572049521,-0.0728102945839365,0.2452336774194667,39,0.5128205128205128,1383,0.4266088214027476,-0.0136402881781131,9.99999999924046e-07,-0.0136422481420975,-0.0136383282141287,0.0,-0.0136402881932814,0.0947213098083597,1.0993524336893368,121,121,0.698163107089115,962,121,0.28797751547784356,0.9119000631318658,False
38.0,0.1046411785972523,0.0892124108381048,-0.0702119336194239,0.2794942908139286,32,0.53125,1383,0.4266088214027476,-0.0136402881784198,9.999999999371768e-07,-0.0136422481424042,-0.0136383282144354,0.0,-0.0136402881932814,0.6419151826720765,1.900116466918866,38,38,0.459446078597432,905,38,0.24081818875525673,0.9119000631318658,False
51.0,0.0869046921107658,0.0832387712583792,-0.0762403016730252,0.2500496858945569,37,0.5135135135135135,1383,0.4266088214027476,-0.01364028817877,9.999999999278363e-07,-0.0136422481427544,-0.0136383282147856,0.0,-0.0136402881932814,0.1724543090164823,1.1882175285471566,51,51,0.495667642354622,1002,51,0.2964664090877297,0.9119000631318658,False
63.0,0.0733911785972523,0.0782895445002253,-0.080053508989235,0.2268358661837398,42,0.5,1383,0.4266088214027476,-0.0136402881790821,9.99999999918424e-07,-0.0136422481430665,-0.0136383282150977,0.0,-0.0136402881932814,0.5937095819005481,1.8106928858752345,63,63,0.512046863832189,1056,63,0.34853603018831325,0.9119000631318658,False
44.0,0.0876768928829666,0.0855213310510241,-0.0799418358869676,0.2552956216529009,35,0.5142857142857142,1383,0.4266088214027476,-0.0136402881794287,9.99999999931637e-07,-0.0136422481434131,-0.0136383282154443,0.0,-0.0136402881932814,0.1989632470632493,1.2201371214533432,44,44,0.478240253040839,1098,44,0.305266487816226,0.9119000631318658,False
