model,weighted_rmse_mean,weighted_rmse_sd,spearman_mean,spearman_sd
RidgeCV,0.08463939712747905,0.01587924823084625,0.6705982905982906,0.12681054610309775
ElasticNetCV,0.08631410376224236,0.016987386958181062,0.6564273504273505,0.15077115334937136
