model,rmse_mean,rmse_sd,mae_mean,mae_sd,auc_mean,auc_sd
RidgeCV,1.1316581507338207e-11,1.4303814824841867e-12,9.089243455640849e-12,1.2996545241731134e-12,,
ElasticNetCV,1.1294236407605727e-11,1.6094158006559296e-12,9.047719723538522e-12,1.3869445332847015e-12,,
LogitCV(binary>0),,,,,,
