video_id,naive_effect,naive_se,naive_ci_lo,naive_ci_hi,treated_n,treated_rate,control_n,control_rate,shrunk_effect,shrunk_se,shrunk_ci_lo,shrunk_ci_hi,tau2_overall,mu_overall,adj_logit_effect,adj_or
25.0,0.15116895637503008,0.0748197611210036,0.004524919245972869,0.2978129935040873,45,0.5777777777777777,1383,0.42660882140274764,-0.013640288163840733,9.999999999106824e-07,-0.013642248127825099,-0.013638328199856367,0.0,-0.013640288193281487,0.5809306038829178,1.7877012986644318
57.0,0.12602275754462083,0.08174914232175796,-0.03420261717306386,0.2862481322623055,38,0.5526315789473685,1383,0.42660882140274764,-0.013640288172382987,9.999999999251824e-07,-0.01364224813636738,-0.013638328208398593,0.0,-0.013640288193281487,-0.2430798850497063,0.7842088647050908
18.0,0.15959807514897645,0.09241914526453747,-0.021540121051492472,0.3407362713494454,29,0.5862068965517241,1383,0.42660882140274764,-0.013640288172999046,9.999999999414609e-07,-0.01364224813698347,-0.013638328209014621,0.0,-0.013640288193281487,0.17199237351276125,1.1876687754386066
12.0,0.16598377118984492,0.09549135138075593,-0.021175838351495863,0.3531433807311857,27,0.5925925925925926,1383,0.42660882140274764,-0.013640288173582838,9.99999999945167e-07,-0.013642248137567271,-0.013638328209598405,0.0,-0.013640288193281487,0.2574571892652169,1.2936364282688007
86.0,0.13221470800901708,0.08618609046714738,-0.036706925274902685,0.30113634129293687,34,0.5588235294117647,1383,0.42660882140274764,-0.01364028817364576,9.999999999326875e-07,-0.013642248137630169,-0.01363832820966135,0.0,-0.013640288193281487,-0.06921656009448904,0.9331245806483007
1.0,0.1118527170587908,0.08092711365559087,-0.04676151107894691,0.2704669451965285,39,0.5384615384615384,1383,0.42660882140274764,-0.013640288174119903,9.999999999236548e-07,-0.013642248138104293,-0.013638328210135513,0.0,-0.013640288193281487,0.6354745759964253,1.8879178894052224
122.0,0.140057845263919,0.09144428364231956,-0.03916965726709251,0.31928534779493056,30,0.5666666666666667,1383,0.42660882140274764,-0.013640288174901065,9.999999999402062e-07,-0.013642248138885487,-0.013638328210916642,0.0,-0.013640288193281487,0.09057260318585873,1.0948009907960596
3.0,0.09839117859725238,0.0800702618059402,-0.05854365077508347,0.25532600796958826,40,0.525,1383,0.42660882140274764,-0.013640288175807277,9.999999999220121e-07,-0.013642248139791664,-0.01363832821182289,0.0,-0.013640288193281487,0.7077211819734293,2.0293614399613573
69.0,0.10280294330313472,0.08662776863748496,-0.06698436328740423,0.27259024989367364,34,0.5294117647058824,1383,0.42660882140274764,-0.013640288177764763,9.999999999333721e-07,-0.013642248141749172,-0.013638328213780354,0.0,-0.013640288193281487,0.5885607881198113,1.8013939612711254
5.0,0.10280294330313472,0.08662776863748496,-0.06698436328740423,0.27259024989367364,34,0.5294117647058824,1383,0.42660882140274764,-0.013640288177764763,9.999999999333721e-07,-0.013642248141749172,-0.013638328213780354,0.0,-0.013640288193281487,0.6091125341141794,1.8387988032436005
121.0,0.08621169141776514,0.08113515720495212,-0.07281029458393651,0.24523367741946678,39,0.5128205128205128,1383,0.42660882140274764,-0.01364028817811313,9.999999999240459e-07,-0.013642248142097522,-0.013638328214128739,0.0,-0.013640288193281487,0.09472130980835976,1.0993524336893368
38.0,0.10464117859725236,0.08921241083810484,-0.0702119336194239,0.2794942908139286,32,0.53125,1383,0.42660882140274764,-0.013640288178419866,9.999999999371768e-07,-0.013642248142404284,-0.013638328214435448,0.0,-0.013640288193281487,0.6419151826720765,1.900116466918866
51.0,0.08690469211076585,0.08323877125837924,-0.07624030167302526,0.25004968589455695,37,0.5135135135135135,1383,0.42660882140274764,-0.013640288178770095,9.999999999278363e-07,-0.013642248142754493,-0.013638328214785696,0.0,-0.013640288193281487,0.1724543090164823,1.1882175285471566
63.0,0.07339117859725236,0.0782895445002253,-0.08005350898923508,0.2268358661837398,42,0.5,1383,0.42660882140274764,-0.013640288179082128,9.999999999184241e-07,-0.013642248143066507,-0.013638328215097749,0.0,-0.013640288193281487,0.5937095819005481,1.8106928858752345
44.0,0.0876768928829666,0.08552133105102411,-0.07994183588696765,0.2552956216529009,35,0.5142857142857142,1383,0.42660882140274764,-0.013640288179428793,9.99999999931637e-07,-0.013642248143413199,-0.013638328215444388,0.0,-0.013640288193281487,0.19896324706324933,1.2201371214533432
77.0,0.0876768928829666,0.08552133105102411,-0.07994183588696765,0.2552956216529009,35,0.5142857142857142,1383,0.42660882140274764,-0.013640288179428793,9.99999999931637e-07,-0.013642248143413199,-0.013638328215444388,0.0,-0.013640288193281487,0.6965574912916997,2.0068322649149626
46.0,0.06119605664603284,0.07918841746008475,-0.09401038956845606,0.21640250286052173,41,0.4878048780487805,1383,0.42660882140274764,-0.0136402881813474,9.999999999202654e-07,-0.013642248145331782,-0.013638328217363016,0.0,-0.013640288193281487,-0.21931855120501678,0.8030658598064485
56.0,0.09063255790759722,0.09374065797756893,-0.09309575561552519,0.27436087143071963,29,0.5172413793103449,1383,0.42660882140274764,-0.01364028818141519,9.999999999430999e-07,-0.013642248145399619,-0.013638328217430763,0.0,-0.013640288193281487,-0.3134493499733689,0.7309213992543954
60.0,0.09063255790759722,0.09374065797756893,-0.09309575561552519,0.27436087143071963,29,0.5172413793103449,1383,0.42660882140274764,-0.01364028818141519,9.999999999430999e-07,-0.013642248145399619,-0.013638328217430763,0.0,-0.013640288193281487,0.6869622572103946,1.987668327835002
