video_id,count_1,mean_1
1.0,39,0.5384615384615384
2.0,42,0.30952380952380953
3.0,40,0.525
4.0,44,0.45454545454545453
5.0,34,0.5294117647058824
6.0,29,0.3448275862068966
7.0,39,0.38461538461538464
8.0,34,0.5
9.0,29,0.5172413793103449
10.0,19,0.42105263157894735
11.0,33,0.45454545454545453
12.0,27,0.5925925925925926
13.0,29,0.3103448275862069
14.0,32,0.34375
15.0,45,0.4222222222222222
16.0,48,0.3958333333333333
17.0,29,0.41379310344827586
18.0,29,0.5862068965517241
19.0,27,0.4444444444444444
20.0,35,0.45714285714285713
21.0,30,0.5
22.0,42,0.38095238095238093
23.0,35,0.4
24.0,34,0.5
25.0,45,0.5777777777777777
26.0,31,0.45161290322580644
27.0,32,0.375
28.0,23,0.34782608695652173
29.0,24,0.5
30.0,36,0.25
31.0,40,0.45
32.0,30,0.4
33.0,37,0.40540540540540543
34.0,36,0.3611111111111111
35.0,39,0.4358974358974359
36.0,32,0.375
37.0,33,0.42424242424242425
38.0,32,0.53125
39.0,28,0.42857142857142855
40.0,37,0.43243243243243246
41.0,44,0.4318181818181818
42.0,39,0.46153846153846156
43.0,38,0.34210526315789475
44.0,35,0.5142857142857142
45.0,28,0.42857142857142855
46.0,41,0.4878048780487805
47.0,36,0.4444444444444444
48.0,34,0.2647058823529412
49.0,29,0.4482758620689655
50.0,27,0.37037037037037035
51.0,37,0.5135135135135135
52.0,34,0.47058823529411764
53.0,36,0.4722222222222222
54.0,36,0.3888888888888889
55.0,31,0.41935483870967744
56.0,29,0.5172413793103449
57.0,38,0.5526315789473685
58.0,31,0.3870967741935484
59.0,24,0.2916666666666667
60.0,29,0.5172413793103449
61.0,38,0.34210526315789475
62.0,23,0.34782608695652173
63.0,42,0.5
64.0,41,0.36585365853658536
65.0,45,0.3111111111111111
66.0,46,0.41304347826086957
67.0,33,0.36363636363636365
68.0,40,0.325
69.0,34,0.5294117647058824
70.0,37,0.2972972972972973
71.0,34,0.47058823529411764
72.0,33,0.42424242424242425
73.0,31,0.41935483870967744
74.0,21,0.47619047619047616
75.0,32,0.4375
76.0,43,0.37209302325581395
77.0,35,0.5142857142857142
78.0,45,0.4222222222222222
79.0,40,0.325
80.0,24,0.4583333333333333
81.0,29,0.3448275862068966
82.0,28,0.39285714285714285
83.0,28,0.32142857142857145
84.0,31,0.41935483870967744
85.0,33,0.3333333333333333
86.0,34,0.5588235294117647
87.0,46,0.41304347826086957
88.0,31,0.45161290322580644
89.0,34,0.47058823529411764
90.0,33,0.42424242424242425
91.0,25,0.28
92.0,46,0.41304347826086957
93.0,28,0.5
94.0,33,0.45454545454545453
95.0,43,0.4186046511627907
96.0,27,0.37037037037037035
97.0,30,0.3333333333333333
98.0,21,0.3333333333333333
99.0,34,0.47058823529411764
100.0,39,0.48717948717948717
101.0,36,0.3055555555555556
102.0,31,0.3548387096774194
103.0,30,0.3333333333333333
104.0,27,0.5185185185185185
105.0,40,0.375
106.0,32,0.46875
107.0,32,0.34375
108.0,38,0.42105263157894735
109.0,40,0.4
110.0,38,0.3684210526315789
111.0,27,0.3333333333333333
112.0,25,0.48
113.0,38,0.42105263157894735
114.0,41,0.3902439024390244
115.0,22,0.5454545454545454
116.0,32,0.40625
117.0,36,0.3333333333333333
118.0,31,0.25806451612903225
119.0,30,0.4
120.0,38,0.3684210526315789
121.0,39,0.5128205128205128
122.0,30,0.5666666666666667
123.0,34,0.4117647058823529
124.0,31,0.22580645161290322
125.0,36,0.2777777777777778
126.0,33,0.3333333333333333
127.0,31,0.3548387096774194
